11,11,"Sri Badas Sdn Bhd","Aang Buaeh Enterprise (1069) merupakan perusahaan Oil Palm Plantation yang masuk dalam grup Aang Buaeh Enterprise (status grup Private ) berlokasi di Malaysia Kabupaten Kuching Provinsi Sarawak dan secara geografis terletak di koordinat 1.331027 (latitude) - 109.978917 (longitude). Aang Buaeh Enterprise (1069) memiliki kebun dengan luas 340.801808 hektar dan saat ini 44880 masih beroperasi/aktif. Aang Buaeh Enterprise (1069) belum terdaftar sebagai member RSPO dan  belum memiliki sertifikat RSPO serta sudah memiliki sertifikat MSPO. Selain itu Aang Buaeh Enterprise (1069) belum mengadopsi/mematuhi kebijakan NDPE. Saat ini status kepemilikan saham Aang Buaeh Enterprise (1069) dimiliki oleh Subsidiary dengan struktur pemegang saham  belum diketahui","2023-02-19 08:02:23","2023-02-19 08:02:23"
12,12,"Sri Badas Sdn Bhd","Aang Buaeh Enterprise (1069) merupakan perusahaan Oil Palm Plantation yang masuk dalam grup Aang Buaeh Enterprise (status grup Private ) berlokasi di Malaysia Kabupaten Kuching Provinsi Sarawak dan secara geografis terletak di koordinat 1.331027 (latitude) - 109.978917 (longitude). Aang Buaeh Enterprise (1069) memiliki kebun dengan luas 340.801808 hektar dan saat ini 44880 masih beroperasi/aktif. Aang Buaeh Enterprise (1069) belum terdaftar sebagai member RSPO dan  belum memiliki sertifikat RSPO serta sudah memiliki sertifikat MSPO. Selain itu Aang Buaeh Enterprise (1069) belum mengadopsi/mematuhi kebijakan NDPE. Saat ini status kepemilikan saham Aang Buaeh Enterprise (1069) dimiliki oleh Subsidiary dengan struktur pemegang saham  belum diketahui","2023-02-19 08:02:23","2023-02-19 08:02:23"
13,13,"Syarikat Aliha Jaya Sdn Bhd","Aang Buaeh Enterprise (1069) merupakan perusahaan Oil Palm Plantation yang masuk dalam grup Aang Buaeh Enterprise (status grup Private ) berlokasi di Malaysia Kabupaten Kuching Provinsi Sarawak dan secara geografis terletak di koordinat 1.331027 (latitude) - 109.978917 (longitude). Aang Buaeh Enterprise (1069) memiliki kebun dengan luas 340.801808 hektar dan saat ini 44880 masih beroperasi/aktif. Aang Buaeh Enterprise (1069) belum terdaftar sebagai member RSPO dan  belum memiliki sertifikat RSPO serta sudah memiliki sertifikat MSPO. Selain itu Aang Buaeh Enterprise (1069) belum mengadopsi/mematuhi kebijakan NDPE. Saat ini status kepemilikan saham Aang Buaeh Enterprise (1069) dimiliki oleh Subsidiary dengan struktur pemegang saham  belum diketahui","2023-02-19 08:02:23","2023-02-19 08:02:23"
14,14,"Melangking Oil Palm Plantation Sdn Bhd","Aang Buaeh Enterprise (1069) merupakan perusahaan Oil Palm Plantation yang masuk dalam grup Aang Buaeh Enterprise (status grup Private ) berlokasi di Malaysia Kabupaten Kuching Provinsi Sarawak dan secara geografis terletak di koordinat 1.331027 (latitude) - 109.978917 (longitude). Aang Buaeh Enterprise (1069) memiliki kebun dengan luas 340.801808 hektar dan saat ini 44880 masih beroperasi/aktif. Aang Buaeh Enterprise (1069) belum terdaftar sebagai member RSPO dan  belum memiliki sertifikat RSPO serta sudah memiliki sertifikat MSPO. Selain itu Aang Buaeh Enterprise (1069) belum mengadopsi/mematuhi kebijakan NDPE. Saat ini status kepemilikan saham Aang Buaeh Enterprise (1069) dimiliki oleh Subsidiary dengan struktur pemegang saham  belum diketahui","2023-02-19 08:02:23","2023-02-19 08:02:23"
15,15,"PT Gerbang Benua Raya","Aang Buaeh Enterprise (1069) merupakan perusahaan Oil Palm Plantation yang masuk dalam grup Aang Buaeh Enterprise (status grup Private ) berlokasi di Malaysia Kabupaten Kuching Provinsi Sarawak dan secara geografis terletak di koordinat 1.331027 (latitude) - 109.978917 (longitude). Aang Buaeh Enterprise (1069) memiliki kebun dengan luas 340.801808 hektar dan saat ini 44880 masih beroperasi/aktif. Aang Buaeh Enterprise (1069) belum terdaftar sebagai member RSPO dan  belum memiliki sertifikat RSPO serta sudah memiliki sertifikat MSPO. Selain itu Aang Buaeh Enterprise (1069) belum mengadopsi/mematuhi kebijakan NDPE. Saat ini status kepemilikan saham Aang Buaeh Enterprise (1069) dimiliki oleh Subsidiary dengan struktur pemegang saham  belum diketahui","2023-02-19 08:02:23","2023-02-19 08:02:23"
16,16,"PT Kalimantan Hamparan Sawit","Aang Buaeh Enterprise (1069) merupakan perusahaan Oil Palm Plantation yang masuk dalam grup Aang Buaeh Enterprise (status grup Private ) berlokasi di Malaysia Kabupaten Kuching Provinsi Sarawak dan secara geografis terletak di koordinat 1.331027 (latitude) - 109.978917 (longitude). Aang Buaeh Enterprise (1069) memiliki kebun dengan luas 340.801808 hektar dan saat ini 44880 masih beroperasi/aktif. Aang Buaeh Enterprise (1069) belum terdaftar sebagai member RSPO dan  belum memiliki sertifikat RSPO serta sudah memiliki sertifikat MSPO. Selain itu Aang Buaeh Enterprise (1069) belum mengadopsi/mematuhi kebijakan NDPE. Saat ini status kepemilikan saham Aang Buaeh Enterprise (1069) dimiliki oleh Subsidiary dengan struktur pemegang saham  belum diketahui","2023-02-19 08:02:23","2023-02-19 08:02:23"
17,17,"PT Abdi Budi Mulia","Aang Buaeh Enterprise (1069) merupakan perusahaan Oil Palm Plantation yang masuk dalam grup Aang Buaeh Enterprise (status grup Private ) berlokasi di Malaysia Kabupaten Kuching Provinsi Sarawak dan secara geografis terletak di koordinat 1.331027 (latitude) - 109.978917 (longitude). Aang Buaeh Enterprise (1069) memiliki kebun dengan luas 340.801808 hektar dan saat ini 44880 masih beroperasi/aktif. Aang Buaeh Enterprise (1069) belum terdaftar sebagai member RSPO dan  belum memiliki sertifikat RSPO serta sudah memiliki sertifikat MSPO. Selain itu Aang Buaeh Enterprise (1069) belum mengadopsi/mematuhi kebijakan NDPE. Saat ini status kepemilikan saham Aang Buaeh Enterprise (1069) dimiliki oleh Subsidiary dengan struktur pemegang saham  belum diketahui","2023-02-19 08:02:23","2023-02-19 08:02:23"
18,18,"PT Abdi Budi Mulia","Aang Buaeh Enterprise (1069) merupakan perusahaan Oil Palm Plantation yang masuk dalam grup Aang Buaeh Enterprise (status grup Private ) berlokasi di Malaysia Kabupaten Kuching Provinsi Sarawak dan secara geografis terletak di koordinat 1.331027 (latitude) - 109.978917 (longitude). Aang Buaeh Enterprise (1069) memiliki kebun dengan luas 340.801808 hektar dan saat ini 44880 masih beroperasi/aktif. Aang Buaeh Enterprise (1069) belum terdaftar sebagai member RSPO dan  belum memiliki sertifikat RSPO serta sudah memiliki sertifikat MSPO. Selain itu Aang Buaeh Enterprise (1069) belum mengadopsi/mematuhi kebijakan NDPE. Saat ini status kepemilikan saham Aang Buaeh Enterprise (1069) dimiliki oleh Subsidiary dengan struktur pemegang saham  belum diketahui","2023-02-19 08:02:23","2023-02-19 08:02:23"
19,19,"Melangking Oil Palm Plantation Sdn Bhd","Aang Buaeh Enterprise (1069) merupakan perusahaan Oil Palm Plantation yang masuk dalam grup Aang Buaeh Enterprise (status grup Private ) berlokasi di Malaysia Kabupaten Kuching Provinsi Sarawak dan secara geografis terletak di koordinat 1.331027 (latitude) - 109.978917 (longitude). Aang Buaeh Enterprise (1069) memiliki kebun dengan luas 340.801808 hektar dan saat ini 44880 masih beroperasi/aktif. Aang Buaeh Enterprise (1069) belum terdaftar sebagai member RSPO dan  belum memiliki sertifikat RSPO serta sudah memiliki sertifikat MSPO. Selain itu Aang Buaeh Enterprise (1069) belum mengadopsi/mematuhi kebijakan NDPE. Saat ini status kepemilikan saham Aang Buaeh Enterprise (1069) dimiliki oleh Subsidiary dengan struktur pemegang saham  belum diketahui","2023-02-19 08:02:23","2023-02-19 08:02:23"
20,20,"PT Sirma Pratama Nusa","Aang Buaeh Enterprise (1069) merupakan perusahaan Oil Palm Plantation yang masuk dalam grup Aang Buaeh Enterprise (status grup Private ) berlokasi di Malaysia Kabupaten Kuching Provinsi Sarawak dan secara geografis terletak di koordinat 1.331027 (latitude) - 109.978917 (longitude). Aang Buaeh Enterprise (1069) memiliki kebun dengan luas 340.801808 hektar dan saat ini 44880 masih beroperasi/aktif. Aang Buaeh Enterprise (1069) belum terdaftar sebagai member RSPO dan  belum memiliki sertifikat RSPO serta sudah memiliki sertifikat MSPO. Selain itu Aang Buaeh Enterprise (1069) belum mengadopsi/mematuhi kebijakan NDPE. Saat ini status kepemilikan saham Aang Buaeh Enterprise (1069) dimiliki oleh Subsidiary dengan struktur pemegang saham  belum diketahui","2023-02-19 08:02:24","2023-02-19 08:02:24"
21,21,"PT Abidin Palmita Bros","Aang Buaeh Enterprise (1069) merupakan perusahaan Oil Palm Plantation yang masuk dalam grup Aang Buaeh Enterprise (status grup Private ) berlokasi di Malaysia Kabupaten Kuching Provinsi Sarawak dan secara geografis terletak di koordinat 1.331027 (latitude) - 109.978917 (longitude). Aang Buaeh Enterprise (1069) memiliki kebun dengan luas 340.801808 hektar dan saat ini 44880 masih beroperasi/aktif. Aang Buaeh Enterprise (1069) belum terdaftar sebagai member RSPO dan  belum memiliki sertifikat RSPO serta sudah memiliki sertifikat MSPO. Selain itu Aang Buaeh Enterprise (1069) belum mengadopsi/mematuhi kebijakan NDPE. Saat ini status kepemilikan saham Aang Buaeh Enterprise (1069) dimiliki oleh Subsidiary dengan struktur pemegang saham  belum diketahui","2023-02-19 08:02:24","2023-02-19 08:02:24"
22,22,"Ace Agricultural Sdn Bhd","Aang Buaeh Enterprise (1069) merupakan perusahaan Oil Palm Plantation yang masuk dalam grup Aang Buaeh Enterprise (status grup Private ) berlokasi di Malaysia Kabupaten Kuching Provinsi Sarawak dan secara geografis terletak di koordinat 1.331027 (latitude) - 109.978917 (longitude). Aang Buaeh Enterprise (1069) memiliki kebun dengan luas 340.801808 hektar dan saat ini 44880 masih beroperasi/aktif. Aang Buaeh Enterprise (1069) belum terdaftar sebagai member RSPO dan  belum memiliki sertifikat RSPO serta sudah memiliki sertifikat MSPO. Selain itu Aang Buaeh Enterprise (1069) belum mengadopsi/mematuhi kebijakan NDPE. Saat ini status kepemilikan saham Aang Buaeh Enterprise (1069) dimiliki oleh Subsidiary dengan struktur pemegang saham  belum diketahui","2023-02-19 08:02:24","2023-02-19 08:02:24"
23,23,"Ace Agricultural Sdn Bhd","Aang Buaeh Enterprise (1069) merupakan perusahaan Oil Palm Plantation yang masuk dalam grup Aang Buaeh Enterprise (status grup Private ) berlokasi di Malaysia Kabupaten Kuching Provinsi Sarawak dan secara geografis terletak di koordinat 1.331027 (latitude) - 109.978917 (longitude). Aang Buaeh Enterprise (1069) memiliki kebun dengan luas 340.801808 hektar dan saat ini 44880 masih beroperasi/aktif. Aang Buaeh Enterprise (1069) belum terdaftar sebagai member RSPO dan  belum memiliki sertifikat RSPO serta sudah memiliki sertifikat MSPO. Selain itu Aang Buaeh Enterprise (1069) belum mengadopsi/mematuhi kebijakan NDPE. Saat ini status kepemilikan saham Aang Buaeh Enterprise (1069) dimiliki oleh Subsidiary dengan struktur pemegang saham  belum diketahui","2023-02-19 08:02:24","2023-02-19 08:02:24"
24,24,"Ace Agricultural Sdn Bhd","Aang Buaeh Enterprise (1069) merupakan perusahaan Oil Palm Plantation yang masuk dalam grup Aang Buaeh Enterprise (status grup Private ) berlokasi di Malaysia Kabupaten Kuching Provinsi Sarawak dan secara geografis terletak di koordinat 1.331027 (latitude) - 109.978917 (longitude). Aang Buaeh Enterprise (1069) memiliki kebun dengan luas 340.801808 hektar dan saat ini 44880 masih beroperasi/aktif. Aang Buaeh Enterprise (1069) belum terdaftar sebagai member RSPO dan  belum memiliki sertifikat RSPO serta sudah memiliki sertifikat MSPO. Selain itu Aang Buaeh Enterprise (1069) belum mengadopsi/mematuhi kebijakan NDPE. Saat ini status kepemilikan saham Aang Buaeh Enterprise (1069) dimiliki oleh Subsidiary dengan struktur pemegang saham  belum diketahui","2023-02-19 08:02:24","2023-02-19 08:02:24"
25,25,"Batang Malaka Rubber Estate Sdn Bhd","Aang Buaeh Enterprise (1069) merupakan perusahaan Oil Palm Plantation yang masuk dalam grup Aang Buaeh Enterprise (status grup Private ) berlokasi di Malaysia Kabupaten Kuching Provinsi Sarawak dan secara geografis terletak di koordinat 1.331027 (latitude) - 109.978917 (longitude). Aang Buaeh Enterprise (1069) memiliki kebun dengan luas 340.801808 hektar dan saat ini 44880 masih beroperasi/aktif. Aang Buaeh Enterprise (1069) belum terdaftar sebagai member RSPO dan  belum memiliki sertifikat RSPO serta sudah memiliki sertifikat MSPO. Selain itu Aang Buaeh Enterprise (1069) belum mengadopsi/mematuhi kebijakan NDPE. Saat ini status kepemilikan saham Aang Buaeh Enterprise (1069) dimiliki oleh Subsidiary dengan struktur pemegang saham  belum diketahui","2023-02-19 08:02:24","2023-02-19 08:02:24"
26,26,"ICON Dimension Sdn Bhd","Aang Buaeh Enterprise (1069) merupakan perusahaan Oil Palm Plantation yang masuk dalam grup Aang Buaeh Enterprise (status grup Private ) berlokasi di Malaysia Kabupaten Kuching Provinsi Sarawak dan secara geografis terletak di koordinat 1.331027 (latitude) - 109.978917 (longitude). Aang Buaeh Enterprise (1069) memiliki kebun dengan luas 340.801808 hektar dan saat ini 44880 masih beroperasi/aktif. Aang Buaeh Enterprise (1069) belum terdaftar sebagai member RSPO dan  belum memiliki sertifikat RSPO serta sudah memiliki sertifikat MSPO. Selain itu Aang Buaeh Enterprise (1069) belum mengadopsi/mematuhi kebijakan NDPE. Saat ini status kepemilikan saham Aang Buaeh Enterprise (1069) dimiliki oleh Subsidiary dengan struktur pemegang saham  belum diketahui","2023-02-19 08:02:24","2023-02-19 08:02:24"
27,27,"PT Rohul Palmindo","Aang Buaeh Enterprise (1069) merupakan perusahaan Oil Palm Plantation yang masuk dalam grup Aang Buaeh Enterprise (status grup Private ) berlokasi di Malaysia Kabupaten Kuching Provinsi Sarawak dan secara geografis terletak di koordinat 1.331027 (latitude) - 109.978917 (longitude). Aang Buaeh Enterprise (1069) memiliki kebun dengan luas 340.801808 hektar dan saat ini 44880 masih beroperasi/aktif. Aang Buaeh Enterprise (1069) belum terdaftar sebagai member RSPO dan  belum memiliki sertifikat RSPO serta sudah memiliki sertifikat MSPO. Selain itu Aang Buaeh Enterprise (1069) belum mengadopsi/mematuhi kebijakan NDPE. Saat ini status kepemilikan saham Aang Buaeh Enterprise (1069) dimiliki oleh Subsidiary dengan struktur pemegang saham  belum diketahui","2023-02-19 08:02:24","2023-02-19 08:02:24"
28,28,"Ace Oil Mill Sdn Bhd","Aang Buaeh Enterprise (1069) merupakan perusahaan Oil Palm Plantation yang masuk dalam grup Aang Buaeh Enterprise (status grup Private ) berlokasi di Malaysia Kabupaten Kuching Provinsi Sarawak dan secara geografis terletak di koordinat 1.331027 (latitude) - 109.978917 (longitude). Aang Buaeh Enterprise (1069) memiliki kebun dengan luas 340.801808 hektar dan saat ini 44880 masih beroperasi/aktif. Aang Buaeh Enterprise (1069) belum terdaftar sebagai member RSPO dan  belum memiliki sertifikat RSPO serta sudah memiliki sertifikat MSPO. Selain itu Aang Buaeh Enterprise (1069) belum mengadopsi/mematuhi kebijakan NDPE. Saat ini status kepemilikan saham Aang Buaeh Enterprise (1069) dimiliki oleh Subsidiary dengan struktur pemegang saham  belum diketahui","2023-02-19 08:02:24","2023-02-19 08:02:24"
